date,category,amount,payment_method,description
2025-01-24,Other,98.96,Mobile Payment,Analysis ago whether skill positive.
2025-01-24,Other,36.11,Mobile Payment,Culture buy admit speak action.
2025-01-24,Transport,11.88,Mobile Payment,Computer subject Congress region.
2025-01-24,Transport,40.06,Bank Transfer,Soon high.
2025-01-24,Transport,6.51,Bank Transfer,Once beat course throughout.
2025-01-25,Utilities,71.22,Bank Transfer,Fight fast compare.
2025-01-25,Utilities,128.01,Cash,Pay receive who radio image.
2025-01-25,Rent,579.32,Mobile Payment,Task send.
2025-01-25,Other,79.15,Mobile Payment,Agent plan end speech.
2025-01-25,Entertainment,71.0,Cash,Of person family miss.
2025-01-25,Entertainment,42.93,Card,Name radio.
2025-01-25,Utilities,104.06,Cash,Range without yet system.
2025-01-26,Health,135.08,Card,Under again.
2025-01-26,Health,77.77,Bank Transfer,Example note community.
2025-01-26,Health,35.59,Cash,Form budget worker.
2025-01-26,Utilities,124.53,Cash,Concern test guy learn issue.
2025-01-26,Shopping,116.03,Cash,Party agency represent.
2025-01-26,Entertainment,59.68,Cash,State ten.
2025-01-26,Food,16.27,Cash,Season expect.
2025-01-27,Rent,481.92,Cash,Agreement class water allow feeling.
2025-01-27,Utilities,119.92,Card,Whether lawyer nation design course.
2025-01-27,Food,6.76,Mobile Payment,Magazine daughter follow rule.
2025-01-27,Shopping,189.55,Cash,Economy picture order north.
2025-01-28,Other,99.09,Mobile Payment,Authority single than.
2025-01-28,Other,54.57,Cash,Both with sure suggest simple.
2025-01-28,Rent,528.54,Card,Laugh claim image.
2025-01-28,Shopping,177.63,Card,Identify enjoy stay.
2025-01-28,Entertainment,81.91,Cash,Do guy worker citizen.
2025-01-28,Other,60.62,Card,Many recently view.
2025-01-29,Other,32.23,Cash,One deal sport could good.
2025-01-29,Utilities,191.51,Mobile Payment,Run nice law check.
2025-01-29,Utilities,180.21,Bank Transfer,Trade reveal Congress however national.
2025-01-29,Transport,3.72,Cash,Knowledge opportunity light.
2025-01-29,Transport,35.89,Bank Transfer,Parent worry knowledge miss third.
2025-01-30,Entertainment,35.18,Cash,Age action let perhaps.
2025-01-30,Transport,12.06,Card,Care stuff likely agreement suffer.
2025-01-30,Shopping,19.76,Mobile Payment,Begin civil evening.
2025-01-30,Rent,971.57,Bank Transfer,Many hotel floor.
2025-01-30,Utilities,169.56,Cash,Would rate behavior father local.
2025-01-30,Utilities,181.24,Card,Box meet us treat theory.
2025-01-30,Transport,40.5,Cash,Back piece best.
2025-01-30,Shopping,126.71,Mobile Payment,Pull size face us.
2025-01-30,Rent,723.32,Bank Transfer,Practice in west.
2025-01-31,Shopping,19.75,Mobile Payment,Evidence while threat avoid.
2025-01-31,Other,63.51,Cash,Particularly after significant.
2025-01-31,Transport,32.61,Mobile Payment,Phone let turn wife.
2025-01-31,Other,57.94,Card,Admit rather way wonder plant.
2025-01-31,Other,92.33,Card,Building home yourself.
2025-01-31,Utilities,173.57,Mobile Payment,Service realize case.
2025-02-01,Utilities,141.58,Card,Bill others good cost.
2025-02-01,Health,57.32,Card,Program view.
2025-02-01,Transport,48.09,Mobile Payment,Though shake far.
2025-02-02,Transport,20.35,Mobile Payment,Green draw despite whose.
2025-02-02,Other,63.47,Card,Government leave nothing piece break.
2025-02-02,Rent,767.2,Mobile Payment,Just politics everybody.
2025-02-02,Health,31.06,Bank Transfer,Mention very present.
2025-02-03,Rent,1000.19,Cash,Senior not.
2025-02-03,Transport,46.37,Card,Attention rise skin hospital.
2025-02-03,Shopping,77.21,Card,With clear.
2025-02-03,Entertainment,30.96,Cash,Agency level tax fall.
2025-02-03,Utilities,55.1,Cash,Recently item.
2025-02-03,Other,15.67,Mobile Payment,Set woman card challenge camera.
2025-02-04,Rent,960.45,Card,Baby level lead nature.
2025-02-04,Health,31.67,Cash,Democratic civil suggest marriage once.
2025-02-04,Rent,456.04,Bank Transfer,Final recognize.
2025-02-04,Food,21.13,Cash,Official way my national.
2025-02-04,Food,26.32,Card,Light fine eight.
2025-02-04,Rent,882.71,Cash,Bar recently.
2025-02-05,Entertainment,37.67,Mobile Payment,Moment watch administration else later.
2025-02-05,Transport,17.56,Bank Transfer,At his size chair herself.
2025-02-05,Shopping,87.16,Bank Transfer,American indeed consider agency town.
2025-02-05,Other,47.06,Cash,Language cause trip carry.
2025-02-05,Food,6.19,Mobile Payment,Similar share save.
2025-02-05,Rent,1084.19,Bank Transfer,Adult may across.
2025-02-06,Rent,791.13,Bank Transfer,Factor continue travel professional.
2025-02-06,Utilities,144.19,Mobile Payment,Real allow rather white real.
2025-02-06,Shopping,110.76,Mobile Payment,Election character culture road have.
2025-02-06,Utilities,152.89,Bank Transfer,Final since according talk music.
2025-02-06,Other,89.17,Card,Then seek administration skill.
2025-02-06,Health,107.53,Cash,Dinner mission.
2025-02-07,Entertainment,29.72,Card,Own hot old finish.
2025-02-07,Food,20.76,Card,Find job.
2025-02-07,Health,125.29,Card,Firm Mrs rather option.
2025-02-07,Utilities,115.16,Mobile Payment,Republican know church drop.
2025-02-07,Rent,1049.32,Bank Transfer,Kitchen board cold away.
2025-02-07,Rent,844.59,Mobile Payment,Consider agree always Congress.
2025-02-08,Transport,38.67,Bank Transfer,Similar dinner ask soon.
2025-02-08,Entertainment,98.66,Cash,Same himself build look.
2025-02-08,Transport,14.26,Mobile Payment,Easy science fly become.
2025-02-08,Utilities,129.15,Cash,Voice heavy.
2025-02-08,Food,24.34,Cash,Suggest style age understand.
2025-02-09,Utilities,170.11,Card,Bit rock save pattern.
2025-02-09,Entertainment,48.4,Mobile Payment,Low effort finish.
2025-02-09,Utilities,123.11,Mobile Payment,Live we about up.
2025-02-09,Health,42.47,Bank Transfer,Determine seven hot opportunity cut.
2025-02-09,Shopping,164.24,Mobile Payment,Western son thought return.
2025-02-10,Rent,713.8,Mobile Payment,Environmental what green challenge.
2025-02-10,Other,92.35,Card,Believe seat.
2025-02-10,Shopping,182.0,Mobile Payment,Thank card human food.
2025-02-10,Other,77.24,Card,Explain investment.
2025-02-10,Health,76.42,Mobile Payment,Carry present section.
2025-02-10,Utilities,118.65,Card,Ok own organization.
2025-02-11,Food,28.81,Mobile Payment,Policy still close lay.
2025-02-11,Entertainment,60.18,Mobile Payment,She degree big unit.
2025-02-11,Other,98.99,Bank Transfer,Church safe picture good town.
2025-02-11,Shopping,186.53,Cash,Report upon prepare nothing fine.
2025-02-11,Entertainment,79.25,Mobile Payment,Ever accept start happen.
2025-02-11,Shopping,10.56,Bank Transfer,Should should than fish.
2025-02-12,Shopping,144.33,Cash,Detail her explain person.
2025-02-12,Rent,933.75,Cash,Staff state.
2025-02-12,Shopping,29.54,Cash,Sort address beautiful.
2025-02-12,Health,25.15,Cash,Sit program south realize.
2025-02-13,Shopping,21.97,Bank Transfer,Country remember.
2025-02-13,Rent,1066.24,Bank Transfer,Carry itself happy.
2025-02-14,Rent,569.95,Bank Transfer,Maybe production little year.
2025-02-14,Other,50.66,Mobile Payment,Baby civil community base.
2025-02-15,Health,58.9,Mobile Payment,Let public act bed eye.
2025-02-15,Other,37.14,Card,High against dog sound decade.
2025-02-15,Health,102.32,Bank Transfer,Whether whatever road.
2025-02-15,Entertainment,55.79,Bank Transfer,White shoulder article almost plant.
2025-02-15,Food,25.22,Cash,Major local son.
2025-02-15,Health,99.37,Card,Mr tree bring thought.
2025-02-15,Other,36.3,Mobile Payment,Page ever state defense analysis.
2025-02-16,Rent,535.52,Card,Finish second future.
2025-02-16,Shopping,178.06,Card,Or loss year stage data.
2025-02-16,Shopping,25.85,Mobile Payment,Forget television its.
2025-02-16,Entertainment,15.13,Cash,Sense sometimes.
2025-02-16,Health,114.82,Mobile Payment,Industry policy not could TV.
2025-02-16,Other,87.43,Mobile Payment,Information major.
2025-02-16,Health,48.99,Bank Transfer,Again final realize arm.
2025-02-16,Other,19.37,Card,Trip purpose develop ground.
2025-02-16,Transport,41.64,Mobile Payment,Similar study young spring.
2025-02-16,Transport,22.63,Cash,Side nation wonder.
2025-02-16,Food,17.8,Cash,Moment reason under.
2025-02-16,Rent,412.09,Bank Transfer,Computer place stuff turn less.
2025-02-16,Shopping,83.45,Cash,Yet scientist.
2025-02-17,Other,69.81,Bank Transfer,Magazine item third.
2025-02-17,Health,66.0,Card,Someone middle field continue.
2025-02-17,Food,13.87,Card,Something fear look.
2025-02-17,Utilities,169.33,Bank Transfer,Show bring history real.
2025-02-17,Utilities,138.41,Bank Transfer,Five firm teacher purpose look.
2025-02-17,Health,39.15,Mobile Payment,Memory since court effort usually.
2025-02-17,Health,90.58,Card,Goal six reflect.
2025-02-17,Other,93.09,Bank Transfer,Especially summer board country.
2025-02-17,Transport,28.76,Bank Transfer,Good inside step.
2025-02-17,Other,37.35,Mobile Payment,Stand down certainly.
2025-02-18,Utilities,71.31,Cash,Difference six.
2025-02-18,Other,11.51,Cash,Range cold always.
2025-02-18,Other,20.57,Bank Transfer,Season change PM pick.
2025-02-18,Shopping,107.19,Cash,Brother law call during experience.
2025-02-18,Shopping,84.02,Card,Natural reason social laugh answer.
2025-02-19,Food,7.62,Card,From dark agree if.
2025-02-19,Utilities,143.0,Cash,Project play less international three.
2025-02-19,Shopping,86.1,Card,Catch south simple.
2025-02-19,Rent,706.7,Mobile Payment,Manage edge sit music.
2025-02-19,Shopping,36.97,Bank Transfer,Society site cause.
2025-02-19,Health,61.11,Card,Far can history Democrat.
2025-02-19,Health,110.07,Mobile Payment,Group what.
2025-02-20,Food,24.45,Bank Transfer,System property professor new.
2025-02-20,Health,103.23,Bank Transfer,Student hot teach him.
2025-02-20,Rent,1194.35,Cash,General never national model.
2025-02-21,Entertainment,37.75,Cash,Education floor cut senior.
2025-02-21,Entertainment,25.79,Cash,Character make service pretty.
2025-02-21,Entertainment,33.46,Bank Transfer,Himself write hospital million.
2025-02-21,Utilities,69.48,Mobile Payment,Democrat sense argue.
2025-02-21,Rent,971.72,Mobile Payment,Keep fish up drug.
2025-02-22,Other,94.98,Bank Transfer,Build every your education.
2025-02-22,Shopping,136.8,Card,Cultural affect language.
2025-02-22,Transport,3.71,Card,Ahead reach effort above.
2025-02-22,Food,6.53,Mobile Payment,Movement arm eye.
2025-02-23,Health,129.9,Cash,Enter say drug.
2025-02-23,Shopping,171.74,Cash,Artist paper.
2025-02-23,Health,25.98,Bank Transfer,Throw sort.
2025-02-23,Transport,26.28,Bank Transfer,Enjoy finish begin.
2025-02-23,Health,41.33,Bank Transfer,Positive current you.
2025-02-24,Shopping,62.58,Card,Another reveal production.
2025-02-24,Transport,44.4,Cash,Individual road support.
2025-02-25,Health,91.65,Cash,Parent about yard.
2025-02-25,Other,14.1,Mobile Payment,Particular sometimes pressure consider.
2025-02-25,Health,64.01,Cash,Direction reduce western.
2025-02-25,Shopping,180.63,Mobile Payment,Capital choose impact ball.
2025-02-26,Transport,17.23,Cash,Foreign smile lead although.
2025-02-26,Shopping,17.12,Cash,Speech actually area allow.
2025-02-26,Health,26.56,Bank Transfer,Both environmental seem edge.
2025-02-26,Transport,40.78,Bank Transfer,Teach within various whom.
2025-02-26,Transport,36.92,Cash,Increase skin agreement see tell.
2025-02-27,Entertainment,79.33,Mobile Payment,Shoulder party sound relate.
2025-02-27,Health,136.22,Bank Transfer,If exist word.
2025-02-27,Utilities,62.16,Mobile Payment,Approach stuff ground.
2025-02-27,Rent,671.94,Cash,Newspaper evidence research.
2025-02-28,Shopping,150.88,Mobile Payment,Hand couple.
2025-02-28,Health,63.29,Cash,Will great sort leader.
2025-02-28,Entertainment,74.95,Bank Transfer,Research eye cup.
2025-03-01,Shopping,22.59,Card,Usually rather third.
2025-03-01,Food,28.34,Card,Although north huge.
2025-03-01,Transport,3.44,Bank Transfer,Local media west.
2025-03-02,Other,31.55,Bank Transfer,Statement skill fight.
2025-03-02,Entertainment,29.58,Mobile Payment,Beyond until community ahead.
2025-03-02,Rent,1113.81,Card,Over threat improve speak coach.
2025-03-03,Rent,1131.92,Cash,Someone against.
2025-03-03,Other,22.57,Card,Return account itself live.
2025-03-03,Food,19.15,Mobile Payment,Yard bill speech against worry.
2025-03-03,Utilities,183.1,Mobile Payment,According business.
2025-03-04,Shopping,26.39,Mobile Payment,Daughter billion door unit build.
2025-03-04,Entertainment,16.08,Cash,Look wife.
2025-03-04,Health,50.55,Mobile Payment,Certainly economic stuff situation conference.
2025-03-04,Rent,970.07,Cash,Your water listen.
2025-03-04,Other,54.68,Bank Transfer,Yard you.
2025-03-04,Food,9.95,Bank Transfer,Whom brother.
2025-03-05,Transport,33.37,Card,Improve special.
2025-03-06,Entertainment,60.01,Bank Transfer,Expert charge treatment mouth.
2025-03-06,Health,131.5,Bank Transfer,Hand call.
2025-03-06,Health,32.47,Mobile Payment,Every friend allow price.
2025-03-06,Food,29.77,Card,Job to kid.
2025-03-06,Rent,867.03,Card,Opportunity single.
2025-03-06,Transport,26.36,Bank Transfer,Theory behind.
2025-03-06,Food,24.21,Card,Who imagine training.
2025-03-06,Rent,435.73,Card,Republican without.
2025-03-07,Utilities,176.17,Card,Its civil analysis reduce thought.
2025-03-07,Other,31.92,Card,Usually relationship traditional.
2025-03-07,Health,31.81,Card,Live something sit save.
2025-03-07,Other,30.03,Mobile Payment,Case conference husband.
2025-03-07,Shopping,17.8,Card,Run happen away include coach.
2025-03-07,Rent,580.75,Card,Effect wait stuff.
2025-03-08,Rent,1010.55,Bank Transfer,Project watch peace onto.
2025-03-08,Rent,453.11,Mobile Payment,Pick apply science stock arm.
2025-03-08,Entertainment,72.5,Bank Transfer,Station wrong.
2025-03-08,Rent,989.22,Card,Manager hair field mind.
2025-03-08,Food,18.63,Bank Transfer,School article expect.
2025-03-09,Other,40.65,Bank Transfer,Coach nice cell second owner.
2025-03-09,Utilities,194.34,Cash,Which activity season its.
2025-03-09,Transport,19.93,Mobile Payment,Music miss change.
2025-03-09,Transport,37.56,Card,Really police produce send.
2025-03-09,Food,8.7,Mobile Payment,Tend out impact.
2025-03-09,Food,26.24,Card,Education late.
2025-03-09,Transport,27.27,Mobile Payment,Practice environment.
2025-03-10,Health,99.2,Mobile Payment,Catch much health.
2025-03-10,Shopping,127.43,Mobile Payment,Increase charge.
2025-03-10,Health,70.4,Cash,State husband because.
2025-03-10,Rent,1024.3,Card,Research not.
2025-03-10,Shopping,77.91,Card,Behind method.
2025-03-10,Entertainment,95.55,Cash,Item about TV painting place.
2025-03-10,Health,133.44,Cash,Model strong chance attorney interview.
2025-03-11,Food,29.05,Card,Edge since close surface.
2025-03-11,Shopping,124.88,Card,Stage protect best fire.
2025-03-11,Utilities,188.33,Mobile Payment,Now read up girl.
2025-03-11,Rent,635.34,Card,Industry test choice somebody.
2025-03-11,Transport,40.24,Card,Watch offer pull will.
2025-03-11,Health,132.38,Mobile Payment,Set simply do.
2025-03-12,Utilities,145.26,Card,Yourself enjoy arrive.
2025-03-12,Entertainment,32.44,Bank Transfer,Attorney house pretty its mind.
2025-03-12,Shopping,139.47,Cash,Specific leg compare history.
2025-03-13,Health,76.26,Cash,Site compare east.
2025-03-13,Other,86.07,Mobile Payment,This ability rather Mr.
2025-03-13,Utilities,195.46,Cash,Prevent stop goal local.
2025-03-13,Food,24.05,Bank Transfer,Event produce dream next while.
2025-03-13,Shopping,65.36,Card,Camera city year office child.
2025-03-13,Utilities,62.72,Bank Transfer,Something let since edge.
2025-03-13,Transport,15.97,Cash,Her work nature question design.
2025-03-14,Shopping,101.12,Bank Transfer,Always line computer enter.
2025-03-14,Rent,962.56,Cash,Claim off three building debate.
2025-03-14,Rent,665.96,Mobile Payment,Size recent growth less price.
2025-03-15,Health,47.34,Bank Transfer,Sing within management possible.
2025-03-15,Utilities,65.74,Mobile Payment,Democratic take learn name.
2025-03-15,Entertainment,55.12,Card,Wrong everybody candidate.
2025-03-15,Other,44.69,Cash,Hotel let environment.
2025-03-15,Rent,1086.17,Mobile Payment,Turn might nation yet.
2025-03-15,Health,106.07,Mobile Payment,Light occur where believe.
2025-03-15,Shopping,24.99,Bank Transfer,When unit inside tax.
2025-03-15,Food,26.32,Cash,Fact although approach continue.
2025-03-15,Other,27.29,Mobile Payment,Situation throughout prepare race.
2025-03-15,Utilities,163.48,Card,Oil attorney candidate.
2025-03-15,Utilities,133.99,Card,Smile purpose.
2025-03-15,Rent,1183.62,Bank Transfer,Region might word this test.
2025-03-16,Entertainment,43.16,Card,Class single artist issue.
2025-03-16,Health,117.13,Bank Transfer,Interest picture simply.
2025-03-16,Utilities,169.97,Mobile Payment,His information agreement.
2025-03-16,Shopping,132.24,Card,Rock eight cup painting mind.
2025-03-17,Transport,29.35,Bank Transfer,Word store.
2025-03-17,Transport,32.16,Cash,Mission light check table.
2025-03-17,Food,12.12,Cash,Issue wrong style however opportunity.
2025-03-17,Food,22.73,Cash,Market will put discussion.
2025-03-17,Food,16.12,Bank Transfer,Successful work dog.
2025-03-18,Transport,48.94,Cash,Throughout full candidate ten daughter.
2025-03-18,Food,23.75,Mobile Payment,Debate little father red.
2025-03-18,Shopping,144.48,Mobile Payment,Concern majority usually.
2025-03-19,Other,96.46,Cash,Cost within design break.
2025-03-19,Rent,1082.14,Card,Lose better baby.
2025-03-19,Rent,546.55,Bank Transfer,Point happen soldier serious.
2025-03-19,Health,44.49,Mobile Payment,Mother campaign few.
2025-03-19,Utilities,126.31,Cash,Indeed best baby look.
2025-03-20,Entertainment,75.87,Cash,Politics all how region industry.
2025-03-20,Other,7.52,Bank Transfer,Defense garden woman music.
2025-03-20,Entertainment,74.68,Cash,Mention newspaper forget feeling.
2025-03-21,Other,45.7,Card,Allow learn interesting real.
2025-03-21,Food,19.93,Cash,Structure TV someone.
2025-03-21,Health,114.04,Cash,Accept feeling.
2025-03-21,Shopping,198.85,Cash,Whose also popular however.
2025-03-22,Other,74.28,Mobile Payment,Health spring four.
2025-03-22,Other,78.94,Card,Hit watch.
2025-03-23,Utilities,109.42,Bank Transfer,Admit coach.
2025-03-23,Rent,754.57,Cash,Food middle mother what seem.
2025-03-23,Transport,33.22,Mobile Payment,Specific ahead amount much.
2025-03-23,Other,97.41,Bank Transfer,Structure peace perform hard save.
2025-03-23,Other,60.72,Cash,Board risk later pass.
2025-03-23,Other,35.02,Card,Born bill crime.
2025-03-24,Health,53.53,Cash,Father several at.
2025-03-24,Entertainment,76.41,Card,Congress establish street national.
2025-03-24,Transport,19.33,Card,Need close beyond.
2025-03-25,Utilities,70.5,Card,Say clearly.
2025-03-25,Entertainment,46.37,Cash,Day feel best.
2025-03-25,Other,22.23,Bank Transfer,Right number return hold.
2025-03-25,Transport,45.03,Bank Transfer,Nearly realize red pass.
2025-03-25,Rent,918.29,Cash,Morning over light response.
2025-03-25,Shopping,17.6,Bank Transfer,Best sing.
2025-03-25,Transport,4.67,Mobile Payment,Race wife.
2025-03-26,Shopping,155.59,Bank Transfer,Pay Democrat nice.
2025-03-26,Shopping,163.87,Mobile Payment,Bank take building.
2025-03-26,Food,7.12,Card,Charge mouth deep maybe.
2025-03-27,Utilities,193.1,Cash,Toward local impact school fear.
2025-03-27,Food,8.81,Bank Transfer,Government data to write.
2025-03-27,Entertainment,46.15,Card,Land forget it save future.
2025-03-27,Transport,43.88,Cash,Particularly manager manager wind.
2025-03-27,Shopping,49.93,Cash,Board more speak road while.
2025-03-27,Other,62.98,Card,Return analysis couple.
2025-03-28,Health,118.16,Mobile Payment,Sit couple whole have.
2025-03-28,Food,23.6,Bank Transfer,Main surface customer spend quickly.
2025-03-28,Food,21.59,Bank Transfer,Activity air.
2025-03-28,Utilities,177.63,Card,And put money.
2025-03-28,Entertainment,68.6,Bank Transfer,Test public team if represent.
2025-03-28,Utilities,56.63,Cash,Address white career method.
2025-03-28,Utilities,172.45,Card,Investment hit himself produce.
2025-03-29,Food,7.6,Card,Order his indeed radio.
2025-03-29,Transport,28.64,Card,Each arm.
2025-03-29,Other,65.82,Mobile Payment,Room leader carry above.
2025-03-30,Other,13.11,Bank Transfer,Campaign however follow stay.
2025-03-30,Shopping,38.58,Cash,Both scene head.
2025-03-30,Other,55.22,Card,Measure behavior debate.
2025-03-30,Food,29.52,Bank Transfer,Have media various.
2025-03-30,Other,91.28,Cash,Sister could phone.
2025-03-30,Food,29.14,Mobile Payment,Physical peace face.
2025-03-30,Health,76.6,Card,Surface thing always.
2025-03-31,Health,73.4,Mobile Payment,Truth and marriage that.
2025-03-31,Health,57.02,Card,Success soon including tonight piece.
2025-03-31,Rent,943.09,Card,Hotel year campaign.
2025-03-31,Health,63.46,Card,Live other serious total case.
2025-03-31,Utilities,177.51,Cash,Happy story article.
2025-03-31,Transport,34.15,Card,Ok song.
2025-03-31,Utilities,175.29,Card,Stand take particularly onto short.
2025-03-31,Utilities,105.74,Bank Transfer,Information win catch prevent.
2025-04-01,Rent,1040.04,Bank Transfer,Far dream party.
2025-04-01,Utilities,175.29,Bank Transfer,Alone guy score.
2025-04-01,Entertainment,87.64,Mobile Payment,Difficult level per from leg.
2025-04-01,Utilities,135.35,Card,Talk include since.
2025-04-01,Other,97.99,Bank Transfer,Blue what check.
2025-04-01,Other,92.01,Bank Transfer,Sell where majority.
2025-04-02,Transport,22.1,Card,Age this two cost inside.
2025-04-02,Other,75.5,Card,Approach change everything difficult picture.
2025-04-02,Rent,463.57,Cash,Happen hand.
2025-04-02,Utilities,65.41,Card,Look chance.
2025-04-03,Food,28.81,Bank Transfer,Foot both more film.
2025-04-03,Health,127.74,Bank Transfer,Mind leave whose.
2025-04-03,Other,62.48,Mobile Payment,Six able hundred contain.
2025-04-03,Food,16.17,Card,Feel price grow physical sister.
2025-04-03,Transport,19.63,Cash,Provide realize political find.
2025-04-03,Entertainment,93.15,Mobile Payment,Point interview TV.
2025-04-03,Food,28.41,Bank Transfer,Artist first face drive.
2025-04-03,Utilities,156.33,Card,Perform message.
2025-04-04,Rent,703.21,Bank Transfer,Including floor whom she.
2025-04-04,Utilities,76.53,Mobile Payment,Trial instead subject however determine.
2025-04-04,Utilities,166.92,Card,According than some action.
2025-04-04,Other,39.52,Bank Transfer,Put make guess.
2025-04-05,Other,89.94,Bank Transfer,Place treat popular information.
2025-04-05,Transport,2.6,Card,Class campaign now.
2025-04-05,Rent,1147.48,Cash,Current exist firm realize general.
2025-04-05,Utilities,115.15,Cash,Manage everything policy different.
2025-04-06,Entertainment,92.47,Mobile Payment,Threat collection produce message.
2025-04-06,Rent,711.82,Card,Offer industry.
2025-04-06,Utilities,101.97,Cash,Response population instead total positive.
2025-04-06,Food,11.28,Cash,Always week spring surface.
2025-04-06,Transport,26.08,Mobile Payment,Think degree hour couple pressure.
2025-04-06,Other,90.02,Cash,Radio almost teacher will.
2025-04-07,Other,45.71,Mobile Payment,Drop under believe police night.
2025-04-07,Health,66.36,Card,Model what full degree.
2025-04-07,Entertainment,22.11,Bank Transfer,Answer part because.
2025-04-07,Shopping,38.21,Card,Feel evening forget.
2025-04-07,Other,16.34,Bank Transfer,Event stage wind first.
2025-04-07,Utilities,148.49,Card,Decade ask.
2025-04-07,Shopping,98.09,Bank Transfer,Section low.
2025-04-08,Entertainment,77.82,Bank Transfer,Range matter.
2025-04-08,Other,54.14,Bank Transfer,Success big.
2025-04-08,Health,94.88,Card,Step town officer.
2025-04-08,Utilities,199.47,Cash,Ten tend no.
2025-04-08,Other,25.99,Cash,Represent true body buy image.
2025-04-08,Other,15.02,Mobile Payment,Spend themselves.
2025-04-09,Utilities,114.64,Card,Condition hit attack.
2025-04-09,Utilities,69.26,Cash,Especially explain provide.
2025-04-10,Entertainment,53.46,Bank Transfer,Choice to.
2025-04-10,Transport,26.96,Cash,Star class organization.
2025-04-10,Entertainment,19.96,Bank Transfer,Certain market meet laugh.
2025-04-10,Health,120.84,Card,Grow also.
2025-04-10,Utilities,175.48,Bank Transfer,Possible amount machine.
2025-04-10,Rent,636.87,Mobile Payment,Life owner commercial sea.
2025-04-10,Other,72.35,Card,Become unit tonight.
2025-04-10,Transport,12.79,Bank Transfer,Trouble lawyer control might once.
2025-04-11,Rent,495.53,Mobile Payment,International candidate.
2025-04-11,Transport,44.21,Bank Transfer,Right election until.
2025-04-11,Other,14.63,Card,Wait others surface.
2025-04-11,Health,138.28,Cash,You population hundred.
2025-04-11,Food,13.01,Bank Transfer,Relate candidate nature debate protect.
2025-04-11,Food,25.24,Cash,Beyond official spring.
2025-04-11,Transport,11.73,Mobile Payment,Task hundred woman building.
2025-04-12,Other,76.25,Bank Transfer,Maintain create television.
2025-04-12,Rent,852.8,Cash,Million service few.
2025-04-12,Transport,3.58,Cash,Once road hundred.
2025-04-12,Food,28.97,Card,Thing none training.
2025-04-13,Entertainment,79.37,Mobile Payment,Truth tend this bed manager.
2025-04-13,Other,59.97,Card,Mr stock everybody street.
2025-04-13,Entertainment,95.56,Card,For decision.
2025-04-13,Utilities,130.76,Mobile Payment,Pattern large long single under.
2025-04-14,Rent,973.34,Cash,Myself laugh during.
2025-04-14,Transport,6.32,Bank Transfer,Commercial whom short.
2025-04-14,Other,15.32,Card,Save believe value next imagine.
2025-04-14,Rent,753.36,Mobile Payment,Ever arm art lead.
2025-04-14,Utilities,106.52,Cash,Order cut step.
2025-04-14,Utilities,117.1,Bank Transfer,Collection view official specific.
2025-04-14,Health,100.47,Bank Transfer,Offer property commercial realize.
2025-04-14,Transport,47.26,Mobile Payment,Become front tend.
2025-04-14,Utilities,184.29,Mobile Payment,Respond old himself.
2025-04-14,Rent,1041.16,Card,Walk customer serious sit six.
2025-04-15,Health,33.72,Card,Task put laugh quality.
2025-04-15,Other,5.36,Card,Scene career ability edge unit.
2025-04-15,Food,7.05,Bank Transfer,Support stuff generation become under.
2025-04-15,Entertainment,85.09,Card,Majority practice difficult subject family.
2025-04-16,Entertainment,26.07,Card,Message I do first.
2025-04-16,Other,66.89,Mobile Payment,Section back thought town.
2025-04-16,Other,41.14,Cash,Today white.
2025-04-16,Shopping,190.58,Mobile Payment,Usually always help read.
2025-04-16,Food,10.71,Bank Transfer,Place think course wrong worker.
2025-04-16,Health,99.15,Card,Few team for eat.
2025-04-16,Food,10.13,Cash,Physical sport.
2025-04-17,Health,138.14,Bank Transfer,Manage then.
2025-04-17,Health,61.0,Bank Transfer,Energy hard job two.
2025-04-17,Food,12.83,Bank Transfer,Another feel mind.
2025-04-17,Shopping,187.38,Card,Open along not between as.
2025-04-17,Food,24.12,Cash,Experience according beat popular.
2025-04-17,Rent,675.5,Cash,Entire car rule note.
2025-04-17,Utilities,124.25,Card,Key mind somebody memory.
2025-04-18,Utilities,62.94,Cash,Worker feel.
2025-04-18,Food,25.5,Bank Transfer,During yet scene natural personal.
2025-04-18,Rent,767.36,Cash,Final worry direction treatment professional.
2025-04-18,Rent,773.71,Mobile Payment,Adult most dark family.
2025-04-18,Other,94.34,Cash,Understand political help cup coach.
2025-04-18,Entertainment,70.9,Card,Own fear wind.
2025-04-18,Health,26.13,Bank Transfer,News soon maybe.
2025-04-18,Food,22.39,Mobile Payment,Offer generation get room.
2025-04-19,Health,65.28,Card,Imagine son foot finally.
2025-04-19,Other,79.06,Card,Sound wait middle hear.
2025-04-19,Food,10.32,Cash,Room visit project.
2025-04-19,Rent,1052.14,Card,It check someone compare.
2025-04-19,Entertainment,52.73,Bank Transfer,Candidate feeling notice future.
2025-04-19,Health,136.95,Card,Usually key ok.
2025-04-19,Utilities,180.88,Cash,South true action certain.
2025-04-19,Entertainment,32.19,Mobile Payment,Democrat race occur.
2025-04-20,Food,15.58,Card,Size property travel strategy door.
2025-04-20,Utilities,195.4,Cash,It exist call success.
2025-04-20,Health,41.76,Cash,Figure agency indeed start be.
2025-04-21,Other,10.9,Card,Sister themselves.
2025-04-21,Utilities,95.71,Cash,Group activity girl fish open.
2025-04-21,Rent,974.03,Cash,There social yard.
